VDJGene	WAS9CD8TCM	WAS6CD8TCM	WAS4CD8TCM	WAS8CD8TCM	WAS4CD4TEM	WAS6CD4TEM	WAS8CD4TEM	WAS9CD4TEM
TRBV3|TRBD2|TRBJ2-7	0.0185	0.0092	0.0049	0.0127	0.0129	0.02	0.0081	0.0107
TRBV13-2|TRBD2|TRBJ2-7	0.0177	0.01	0.0179	0.0154	0.0148	0.01	0.0123	0.011
TRBV13-2|TRBD1|TRBJ1-1	0.0137	0.0183	0.0049	0.0127	0.0031	0.0075	0.0054	0.0044
TRBV5|TRBD2|TRBJ2-7	0.0129	0.0017	0.013	0.0101	0.0062	0.0037	0.0075	0.0052
TRBV13-2|TRBD2|TRBJ2-5	0.0129	0.0058	0.0146	0.0094	0.0049	0.01	0.0075	0.009
TRBV13-1|TRBD1|TRBJ2-7	0.0129	0.01	0.0016	0.0067	0.0092	0.0025	0.0069	0.0064
TRBV13-3|TRBD2|TRBJ2-7	0.012	0.0058	0.0097	0.0054	0.0086	0.0112	0.0066	0.0032
TRBV13-1|TRBD2|TRBJ2-7	0.012	0.0042	0.0065	0.0114	0.0148	0.0087	0.0147	0.0102
TRBV3|TRBD1|TRBJ1-1	0.0104	0.0058	0.0049	0.008	0.0018	0.005	0.0021	0.0035
TRBV15|TRBD2|TRBJ2-7	0.0104	0.0125	0.0065	0.0107	0.0123	0.0037	0.009	0.0122
TRBV5|TRBD1|TRBJ2-7	0.0096	0.0075	0.0049	0.0047	0.0068	0.0037	0.0033	0.0035
TRBV13-2|TRBD2|TRBJ2-1	0.0096	0.0083	0.0081	0.0094	0.008	0.0137	0.0111	0.0104
TRBV13-2|TRBD2|TRBJ2-3	0.0096	0.0042	0.0097	0.0054	0.0031	0.005	0.0078	0.0061
TRBV4|TRBD2|TRBJ2-1	0.0088	0.0025	0	0.0027	0.0043	0.0012	0.0039	0.0046
TRBV31|TRBD2|TRBJ2-7	0.008	0.01	0.0097	0.004	0.0025	0.0012	0.0018	0.0032
TRBV29|TRBD1|TRBJ2-1	0.008	0	0	0.0013	0.0018	0.0012	0.0063	0.0044
TRBV13-3|TRBD1|TRBJ1-1	0.008	0.0033	0.0065	0.0054	0.0049	0.0037	0.0045	0.0073
TRBV13-2|TRBD1|TRBJ1-2	0.008	0.0083	0.0016	0.0074	0.0018	0.0037	0.0033	0.0026
TRBV13-2|TRBD1|TRBJ1-5	0.008	0.0017	0	0.004	0	0.0012	0.0015	0.0012
TRBV13-1|TRBD2|TRBJ2-4	0.008	0.0083	0.0065	0.006	0.0055	0.0037	0.0033	0.0073
TRBV13-1|TRBD2|TRBJ2-1	0.008	0.0067	0.0016	0.0074	0.008	0.0075	0.0114	0.0078
TRBV1|TRBD2|TRBJ2-7	0.008	0.0117	0.0049	0.0107	0.0049	0.0062	0.0048	0.007
TRBV1|TRBD1|TRBJ1-1	0.008	0.0092	0.0032	0.004	0.0037	0.0075	0.0009	0.0052
TRBV13-2|TRBD2|TRBJ2-4	0.008	0.0092	0.0195	0.0121	0.0031	0.0075	0.006	0.0026
TRBV4|TRBD2|TRBJ2-5	0.008	0.0042	0.0016	0.0047	0.0049	0.01	0.0057	0.0046
TRBV15|TRBD1|TRBJ1-1	0.0072	0.01	0.0032	0.0074	0.0037	0.005	0.0024	0.0046
TRBV13-2|TRBD1|TRBJ2-5	0.0072	0.0125	0.0049	0.008	0.0025	0.0075	0.0054	0.0017
TRBV13-3|TRBD1|TRBJ2-5	0.0072	0.0017	0.0032	0.006	0.0006	0	0.0036	0.0029
TRBV13-1|TRBD2|TRBJ2-5	0.0072	0.0033	0.0081	0.0054	0.0062	0.0062	0.003	0.0049
TRBV19|TRBD2|TRBJ2-5	0.0072	0.0058	0.0081	0.006	0.0025	0.0025	0.0021	0.0017
TRBV13-2|TRBD1|TRBJ2-7	0.0072	0.0075	0.0032	0.0127	0.0031	0.0025	0.0072	0.0046
TRBV31|TRBD1|TRBJ2-1	0.0064	0	0.0016	0.0027	0.0006	0.0037	0.0003	0.0012
TRBV31|TRBD1|TRBJ1-3	0.0064	0	0.0016	0.0027	0.0006	0	0.0003	0.0009
TRBV13-3|TRBD1|TRBJ2-1	0.0064	0.0042	0.0032	0.002	0.0025	0.0012	0.0054	0.0046
TRBV13-3|TRBD1|TRBJ2-7	0.0064	0.0025	0.0032	0.0047	0.0055	0.0037	0.0066	0.0084
TRBV13-2|TRBD1|TRBJ1-3	0.0064	0.0042	0.0049	0.0087	0.0025	0.0025	0.0012	0.002
TRBV5|TRBD1|TRBJ2-5	0.0064	0.0083	0	0.004	0.0012	0	0.0006	0.002
TRBV3|TRBD1|TRBJ2-7	0.0064	0.0075	0.0016	0.004	0.0031	0.0062	0.0039	0.0044
TRBV13-1|TRBD2|TRBJ2-3	0.0064	0.0017	0.0016	0.0034	0.0062	0.005	0.0042	0.0064
TRBV1|TRBD2|TRBJ2-4	0.0064	0.0042	0.0016	0.0074	0.0043	0.005	0.0012	0.0032
TRBV1|TRBD1|TRBJ2-2	0.0064	0.0008	0.0081	0.002	0.0025	0.0037	0.0015	0.0015
TRBV5|TRBD2|TRBJ2-2	0.0056	0	0	0.0027	0	0	0.0003	0.0009
TRBV31|TRBD2|TRBJ2-1	0.0056	0.0058	0.0016	0.002	0.0031	0.0025	0.0015	0.0023
TRBV29|TRBD1|TRBJ2-7	0.0056	0.0025	0	0.004	0.0037	0.0075	0.0093	0.0041
TRBV13-3|TRBD1|TRBJ1-3	0.0056	0.0025	0.0081	0.0034	0.0025	0.0037	0.0012	0.0026
TRBV13-3|TRBD1|TRBJ1-2	0.0056	0.0025	0.0032	0.0027	0.0049	0.0062	0.0027	0.0052
TRBV5|TRBD1|TRBJ1-4	0.0056	0.0075	0.0146	0.008	0.0037	0	0.0015	0.0038
TRBV3|TRBD1|TRBJ2-5	0.0056	0.0058	0.0049	0.0067	0.0012	0.0062	0.0021	0.0026
TRBV1|TRBD2|TRBJ2-5	0.0056	0.0058	0.0114	0.0027	0.0074	0.0012	0.0042	0.0058
TRBV1|TRBD1|TRBJ2-7	0.0056	0.0042	0.0097	0.0094	0.0018	0.0012	0.0021	0.0032
TRBV1|TRBD1|TRBJ1-3	0.0056	0.0017	0.0016	0.006	0.0025	0	0.0015	0.0029
TRBV15|TRBD1|TRBJ2-7	0.0056	0.0075	0.0081	0.008	0.0025	0.0012	0.0063	0.0052
TRBV19|TRBD1|TRBJ1-4	0.0056	0.0017	0.0032	0.006	0.0031	0.0037	0.0036	0.0015
TRBV19|TRBD1|TRBJ1-1	0.0056	0.0108	0.0097	0.0027	0.0037	0.01	0.0024	0.0058
TRBV19|TRBD1|TRBJ1-3	0.0056	0.0025	0.0032	0.0034	0.0006	0.0025	0.0009	0.0006
TRBV19|TRBD1|TRBJ2-7	0.0056	0.0058	0.0032	0.0034	0.0049	0.0062	0.0045	0.0029
TRBV5|TRBD2|TRBJ2-1	0.0048	0.0058	0.0016	0.0054	0.0068	0	0.006	0.0046
TRBV5|TRBD2|TRBJ2-3	0.0048	0.0033	0.0016	0.0027	0.008	0.0012	0.0024	0.0032
TRBV13-3|TRBD1|TRBJ1-5	0.0048	0	0.0081	0.0007	0	0.0012	0.0003	0.0003
TRBV13-3|TRBD1|TRBJ1-4	0.0048	0.0075	0	0.004	0.0012	0.0025	0.0027	0.0038
TRBV13-3|TRBD2|TRBJ2-3	0.0048	0.0017	0.0016	0.0007	0.0012	0.0025	0.0048	0.0032
TRBV5|TRBD1|TRBJ1-1	0.0048	0.0067	0.0097	0.0047	0.0062	0.0012	0.0021	0.0064
TRBV4|TRBD1|TRBJ1-6	0.0048	0.0017	0.0032	0.0007	0.0037	0	0.0003	0.0017
TRBV12-2|TRBD2|TRBJ2-3	0.0048	0.0033	0.0032	0.002	0.0086	0.0062	0.0066	0.0067
TRBV1|TRBD2|TRBJ2-1	0.0048	0.0167	0.0162	0.0013	0.0074	0	0.0033	0.0029
TRBV16|TRBD1|TRBJ1-1	0.0048	0.0067	0.0016	0.008	0.008	0.0025	0.006	0.0067
TRBV19|TRBD2|TRBJ2-3	0.0048	0	0.0032	0.0027	0.0031	0.0012	0.0012	0.002
TRBV13-1|TRBD1|TRBJ1-1	0.0048	0.0083	0.0032	0.0067	0.0068	0.0087	0.0084	0.0087
TRBV13-1|TRBD1|TRBJ2-4	0.0048	0.005	0.0081	0.0067	0.0025	0.0025	0.0054	0.0038
TRBV13-1|TRBD1|TRBJ2-1	0.0048	0	0.0032	0.0007	0.0049	0.005	0.0069	0.0044
TRBV3|TRBD2|TRBJ2-2	0.0048	0.0025	0	0.0034	0.0012	0	0.0018	0.0026
TRBV3|TRBD2|TRBJ2-5	0.0048	0.0108	0.0114	0.0067	0.0018	0	0.003	0.0029
TRBV20|TRBD1|TRBJ1-1	0.004	0.0017	0.0032	0.0027	0.0025	0.0012	0.0015	0.0017
TRBV15|TRBD1|TRBJ1-2	0.004	0.0017	0.0049	0	0.0018	0.0025	0.0006	0.0012
TRBV5|TRBD2|TRBJ2-5	0.004	0.0092	0.0049	0.0087	0.0068	0.0037	0.003	0.0032
TRBV31|TRBD2|TRBJ2-5	0.004	0.005	0.0049	0.004	0.0012	0.0012	0.0015	0.0009
TRBV31|TRBD1|TRBJ1-2	0.004	0.0075	0.0049	0.0007	0	0.0012	0.0006	0
TRBV19|TRBD2|TRBJ2-1	0.004	0.0058	0.0081	0.0034	0.0055	0.0025	0.0048	0.0032
TRBV13-3|TRBD1|TRBJ2-2	0.004	0.0008	0.0032	0.0007	0.0006	0.0025	0.0009	0.0012
TRBV13-3|TRBD1|TRBJ2-4	0.004	0.0033	0.0065	0.004	0.0018	0.0037	0.0015	0.0017
TRBV20|TRBD2|TRBJ2-7	0.004	0.0017	0.0032	0.0013	0.0025	0	0.0021	0.0015
TRBV12-1|TRBD2|TRBJ2-5	0.004	0.0017	0.0016	0.0007	0.0031	0	0.0063	0.0073
TRBV12-1|TRBD2|TRBJ2-4	0.004	0.0008	0	0.0013	0.0031	0.0075	0.0057	0.0046
TRBV13-3|TRBD2|TRBJ2-1	0.004	0.0008	0.0032	0.0013	0.0062	0.0187	0.0078	0.0058
TRBV13-3|TRBD2|TRBJ2-4	0.004	0.0042	0.013	0.004	0.0006	0	0.0027	0.0023
TRBV3|TRBD1|TRBJ1-2	0.004	0.0033	0.0081	0.006	0.0012	0.0012	0.0012	0.0017
TRBV4|TRBD1|TRBJ1-1	0.004	0.0025	0.0032	0.0054	0.0025	0.0075	0.0015	0.0017
TRBV4|TRBD1|TRBJ1-3	0.004	0.0033	0.0016	0	0.0012	0	0.0012	0.0012
TRBV15|TRBD2|TRBJ2-1	0.004	0.005	0.0146	0.0047	0.0062	0.0025	0.006	0.0046
