VGene	WAS9CD8TCM	WAS6CD8TCM	WAS4CD8TCM	WAS8CD8TCM	WAS4CD4TEM	WAS6CD4TEM	WAS8CD4TEM	WAS9CD4TEM
TRBV13-2	0.1237	0.1141	0.1234	0.1394	0.0616	0.0899	0.0884	0.0685
TRBV13-1	0.0956	0.0799	0.0763	0.0791	0.0893	0.0749	0.0908	0.0868
TRBV13-3	0.0908	0.055	0.0844	0.0603	0.0555	0.0712	0.0653	0.0667
TRBV5	0.0787	0.0699	0.0698	0.0804	0.0567	0.02	0.0381	0.0421
TRBV1	0.0779	0.1091	0.0877	0.0858	0.0647	0.04	0.0369	0.0537
TRBV3	0.0755	0.0716	0.0617	0.0777	0.0548	0.0674	0.0455	0.0566
TRBV19	0.0594	0.0608	0.0763	0.061	0.0444	0.0487	0.039	0.0415
TRBV31	0.0562	0.0666	0.0633	0.0402	0.0191	0.0287	0.0168	0.0203
TRBV15	0.0538	0.0774	0.1006	0.0657	0.0487	0.0487	0.0494	0.0508
TRBV16	0.049	0.0716	0.0276	0.0416	0.0684	0.0674	0.0908	0.0696
TRBV4	0.045	0.0425	0.0276	0.0369	0.0474	0.0512	0.0396	0.0409
TRBV20	0.0305	0.0275	0.0276	0.0302	0.0173	0.0062	0.0123	0.0163
TRBV29	0.0289	0.0266	0.0195	0.0315	0.0345	0.0562	0.0593	0.0427
TRBV12-1	0.0281	0.015	0.0325	0.0228	0.0912	0.0749	0.107	0.1042
TRBV12-2	0.0273	0.0225	0.0276	0.0369	0.1245	0.1261	0.1202	0.123
TRBV2	0.0225	0.0333	0.0244	0.0409	0.0191	0.0125	0.012	0.0136
TRBV26	0.0225	0.01	0.0195	0.0214	0.0068	0.0162	0.0117	0.0087
TRBV17	0.0137	0.0216	0.0114	0.0241	0.0518	0.0562	0.0402	0.0551
TRBV14	0.0096	0.0183	0.0244	0.0101	0.0388	0.0375	0.0303	0.0337
TRBV23	0.0088	0.0033	0.0097	0.0121	0.0018	0.0012	0.003	0.0038
TRBV30	0.0024	0.0025	0.0016	0.0013	0.0025	0.0025	0.0027	0.0012
TRBV4-1	0	0.0008	0	0	0	0	0	0
TRBV9	0	0	0	0	0	0	0.0003	0
TRBV7-2	0	0	0.0016	0	0	0	0	0
TRBV10	0	0	0	0	0.0006	0	0	0
TRBV18	0	0	0	0	0	0	0.0006	0
TRBV28	0	0	0	0	0	0.0012	0	0
TRBV27	0	0	0	0	0	0.0012	0	0
TRBV24	0	0	0.0016	0.0007	0	0	0	0
TRBV21	0	0	0	0	0.0006	0	0	0.0003
