VJGene	WAS9CD8TCM	WAS6CD8TCM	WAS4CD8TCM	WAS8CD8TCM	WAS4CD4TEM	WAS6CD4TEM	WAS8CD4TEM	WAS9CD4TEM
TRBV3|TRBJ2-7	0.0249	0.0167	0.0065	0.0168	0.016	0.0262	0.012	0.0151
TRBV13-2|TRBJ2-7	0.0249	0.0175	0.0211	0.0282	0.0179	0.0125	0.0195	0.0157
TRBV13-1|TRBJ2-7	0.0249	0.0142	0.0081	0.0181	0.024	0.0112	0.0216	0.0165
TRBV5|TRBJ2-7	0.0225	0.0092	0.0179	0.0147	0.0129	0.0075	0.0108	0.0087
TRBV13-2|TRBJ2-5	0.0201	0.0183	0.0195	0.0174	0.0074	0.0175	0.0129	0.0107
TRBV13-3|TRBJ2-7	0.0185	0.0083	0.013	0.0101	0.0142	0.015	0.0132	0.0116
TRBV15|TRBJ2-7	0.0161	0.02	0.0146	0.0188	0.0148	0.005	0.0153	0.0174
TRBV13-2|TRBJ1-1	0.0145	0.0192	0.0049	0.0141	0.0031	0.0087	0.0069	0.0044
TRBV1|TRBJ2-7	0.0137	0.0158	0.0146	0.0201	0.0068	0.0075	0.0069	0.0102
TRBV13-1|TRBJ2-4	0.0129	0.0133	0.0146	0.0127	0.008	0.0062	0.0087	0.011
TRBV13-1|TRBJ2-1	0.0129	0.0067	0.0049	0.008	0.0129	0.0125	0.0183	0.0122
TRBV31|TRBJ2-1	0.012	0.0058	0.0032	0.0047	0.0037	0.0062	0.0018	0.0035
TRBV13-2|TRBJ2-3	0.012	0.0042	0.0114	0.0107	0.0043	0.0075	0.0111	0.0075
TRBV31|TRBJ2-7	0.0112	0.0142	0.0195	0.006	0.0043	0.005	0.0027	0.0046
TRBV3|TRBJ1-1	0.0112	0.0058	0.0049	0.008	0.0025	0.0062	0.0021	0.0046
TRBV13-2|TRBJ2-1	0.0112	0.0117	0.0146	0.0154	0.0142	0.0187	0.0165	0.0125
TRBV1|TRBJ2-2	0.0104	0.005	0.0097	0.004	0.0031	0.005	0.0027	0.0023
TRBV1|TRBJ2-4	0.0104	0.0117	0.0016	0.0127	0.0049	0.005	0.0018	0.0046
TRBV13-3|TRBJ2-1	0.0104	0.005	0.0065	0.0034	0.0086	0.02	0.0132	0.0104
TRBV13-3|TRBJ2-5	0.0104	0.0067	0.0049	0.0101	0.0049	0.005	0.0096	0.0093
TRBV4|TRBJ2-1	0.0104	0.0025	0	0.0047	0.0049	0.0037	0.0057	0.0078
TRBV3|TRBJ2-5	0.0104	0.0167	0.0162	0.0134	0.0031	0.0062	0.0051	0.0055
TRBV5|TRBJ2-5	0.0104	0.0175	0.0049	0.0127	0.008	0.0037	0.0036	0.0052
